Date,Precip_mm,Temperature_C,Snow_depth_cm,VWC_5cm,VWC_20cm,VWC_50cm,Discharge_cfs
10/1/2016,4.61,5.5,0,0.27,0.32,0.18,0.53
10/2/2016,0,5.2,0,0.28,0.35,0.19,0.49
10/3/2016,0,7.1,0,0.28,0.37,0.19,0.49
10/4/2016,1.77,2.9,0,0.28,0.38,0.18,0.46
10/5/2016,0.37,-1.8,0,0.28,0.38,0.19,0.46
10/6/2016,1.93,0.4,0,0.27,0.38,0.19,0.48
10/7/2016,14.4,-3.1,12.5,0.27,0.38,0.19,0.53
10/8/2016,4.39,-1.7,5,0.27,0.39,0.19,0.54
10/9/2016,0,3.6,2.5,0.27,0.39,0.19,0.57
10/10/2016,0.13,5.6,0,0.28,0.4,0.2,0.58
10/11/2016,1.68,4.3,0,0.29,0.41,0.21,0.61
10/12/2016,14.12,3.7,2.5,0.29,0.42,0.21,0.68
10/13/2016,0.2,2.5,25,0.29,0.42,0.22,0.64
10/14/2016,0.39,4.2,25,0.29,0.42,0.22,0.62
10/15/2016,0,7.6,25,0.3,0.43,0.23,0.62
10/16/2016,0,9.3,20,0.3,0.44,0.25,0.61
10/17/2016,0,9.2,12.5,0.31,0.44,0.26,0.54
10/18/2016,9.28,2.6,25,0.3,0.44,0.26,0.59
10/19/2016,6.14,1.4,35,0.3,0.44,0.25,0.59
10/20/2016,0,-3.2,32.5,0.3,0.44,0.25,0.58
10/21/2016,0,-3.1,30,0.3,0.44,0.24,0.57
10/22/2016,0,4.6,27.5,0.29,0.43,0.24,0.58
10/23/2016,0,6.9,25,0.29,0.43,0.24,0.58
10/24/2016,0,6.3,25,0.29,0.43,0.24,0.57
10/25/2016,0.66,5.6,22.5,0.29,0.43,0.24,0.62
10/26/2016,2.44,2.7,20,0.3,0.44,0.25,0.59
10/27/2016,0,4.4,20,0.3,0.44,0.25,0.55
10/28/2016,0,6.4,20,0.3,0.44,0.24,0.52
10/29/2016,0.56,8.1,17.5,0.31,0.45,0.26,0.74
10/30/2016,3.53,4.3,15,0.31,0.45,0.27,0.68
10/31/2016,0,5.8,12.5,0.31,0.45,0.27,0.6
11/1/2016,0,4.5,12.5,0.31,0.45,0.26,0.58
11/2/2016,5.34,2.9,17.5,0.31,0.45,0.26,0.59
11/3/2016,0,-0.8,17.5,0.3,0.46,0.25,0.54
11/4/2016,0,1.8,17.5,0.3,0.45,0.24,0.55
11/5/2016,0,3.4,17.5,0.29,0.45,0.24,0.52
11/6/2016,0.33,2,15,0.29,0.44,0.24,0.48
11/7/2016,0,3,12.5,0.29,0.44,0.23,0.46
11/8/2016,0,1.7,10,0.28,0.44,0.23,0.49
11/9/2016,0.23,2.4,7.5,0.27,0.43,0.23,0.44
11/10/2016,0,4.2,7.5,0.25,0.42,0.23,0.42
11/11/2016,0,1.9,7.5,0.22,0.42,0.23,0.41
11/12/2016,0,1.7,5,0.17,0.41,0.22,0.39
11/13/2016,2.12,3,15,0.16,0.4,0.22,0.38
11/14/2016,0.43,-0.6,15,0.16,0.38,0.22,0.4
11/15/2016,0,1.7,15,0.16,0.35,0.22,0.37
11/16/2016,0,5.5,12.5,0.15,0.29,0.22,0.36
11/17/2016,0,5,12.5,0.15,0.26,0.22,0.34
11/18/2016,21.26,-7.1,47.5,0.15,0.24,0.21,0.39
