Date,Precip_mm,Temperature_C,Snow_depth_cm,VWC_5cm,VWC_20cm,VWC_50cm,Discharge_ls
10/1/2016,0,14.8,0,0.058619688,0.0644875,0.056607291,0
10/2/2016,0,16.2,0,0.049956459,0.064992187,0.056881771,0
10/3/2016,0,15.9,0,0.042973645,0.065240104,0.054951563,0
10/4/2016,0,14.8,0,0.037035418,0.065452604,,0
10/5/2016,0,7.7,0,0.0296325,0.064841667,,0
10/6/2016,1.08,9.1,0,0.023944063,0.065549999,,0
10/7/2016,2.12,4.6,0,0.021661875,0.066577082,,0
10/8/2016,0,8,0,0.019470521,0.0683125,0.074421875,0
10/9/2016,0,11.8,0,0.015984791,0.066568228,0.076059896,0
10/10/2016,0,13.5,0,0.013532292,0.06867552,0.077990104,0
10/11/2016,0,16.1,0,0.010602917,0.067046353,0.082381771,0
10/12/2016,6.78,11.5,0,0.008468333,0.067267707,0.083355729,0
10/13/2016,0.58,4.1,0,0.004392187,0.066904686,0.092068229,0
10/14/2016,0,13.4,0,0.001576354,0.065957291,0.086171354,0
10/15/2016,0,16.2,0,0.001655833,0.066205207,0.077033854,0
10/16/2016,0,16.2,0,0.001417396,0.066541666,0.078822395,0
10/17/2016,0,15.4,0,0.000191146,0.06633802,0.079672396,0
10/18/2016,0,11.1,0,-0.002147812,0.065886458,0.080911979,0
10/19/2016,1.26,8.7,0,-0.003362708,0.065824478,0.079884896,0
10/20/2016,0,5,0,-0.003544375,0.066028124,0.074722917,0
10/21/2016,0,5.2,0,-0.005065833,0.065479166,0.083754166,0
10/22/2016,0,11.7,0,-0.006996042,0.065665104,0.097053125,0
10/23/2016,0,13.1,0,-0.006042292,0.06559427,0.075510937,0
10/24/2016,0,10.3,0,-0.006689479,0.065319791,0.079318229,0
10/25/2016,0,13.6,0,-0.0057925,0.067648436,0.064478646,0
10/26/2016,0,12,0,-0.00592875,0.071420312,0.04924948,0
10/27/2016,0,12,0,-0.007382083,0.071340625,0.050152605,0
10/28/2016,0,15.7,0,-0.010731562,0.073270835,0.050320835,0
10/29/2016,0,16.5,0,-0.012763958,0.071438021,0.050250001,0
10/30/2016,0,13.5,0,-0.011855625,0.073191146,0.050559897,0
10/31/2016,0,12.4,0,0.100857187,0.072022396,0.050772397,0
11/1/2016,0,14.3,0,0.319197812,0.073713544,0.050347397,0
11/2/2016,0.23,10.5,0,0.280661774,0.075413543,0.050232293,0
11/3/2016,0,8,0,0.262256669,0.078388541,0.049391147,0
11/4/2016,0,10.2,0,0.248302396,0.081505207,0.048629686,0
11/5/2016,0,10.4,0,0.237152604,0.083807292,0.048549999,0
11/6/2016,0,10.6,0,0.229340936,0.086985939,0.048549999,0
11/7/2016,0,11.3,0,0.221029687,0.089022396,0.048549999,0
11/8/2016,0,8.5,0,0.212877394,0.090642708,0.048549999,0
11/9/2016,0,8.6,0,0.203135519,0.089898958,0.048549999,0
11/10/2016,0,10.8,0,0.18566146,0.090191146,0.048549999,0
11/11/2016,0,9.4,0,0.173103751,0.091439582,0.04853229,0
11/12/2016,0,5.4,0,0.169413646,0.092395833,0.048549999,0
11/13/2016,0,9.2,0,0.153529167,0.09166979,0.048549999,0
11/14/2016,0,9.2,0,0.154812188,0.09241354,0.048549999,0
11/15/2016,0,10.9,0,0.104592708,0.091829166,0.048753645,0
11/16/2016,0,13.7,0,0.091796563,0.090589583,0.049913542,0
11/17/2016,0,12.5,10,0.092534584,0.094600521,0.072155209,0
11/18/2016,8.14,-2.2,12.5,0.087220834,0.095131769,0.086552084,0
11/19/2016,0,-3.5,10,0.108748332,0.095184895,0.071252084,0
11/20/2016,0,1.6,7.5,0.149339478,0.094635938,0.070446354,0
11/21/2016,0,8.3,2.5,0.162714688,0.091262499,,0
11/22/2016,7.57,8.9,0,0.163282395,0.091953123,,0
11/23/2016,0,1.2,0,0.162294585,0.093617707,,0
11/24/2016,0,1.5,0,0.140642187,0.094618227,,0
11/25/2016,0,0.4,0,0.143719166,0.09421979,0.096096875,0
11/26/2016,0,3.5,0,0.140233436,0.095725001,,0
11/27/2016,0,5.4,0,0.10579625,0.097743751,0.139632813,0
11/28/2016,0,3.1,0,0.068429687,0.096566147,,0
11/29/2016,0,-0.3,0,0.073732082,0.095919792,,0
11/30/2016,0,-3.5,0,0.099210833,0.09595521,,0
12/1/2016,0,-3.6,0,0.124189999,0.096026043,,0
12/2/2016,0,-2.5,5,0.133965936,0.096760941,,0
12/3/2016,0.29,-5,2.5,0.142129582,0.096282816,,0
12/4/2016,0,-3.2,2.5,0.148374375,0.096220836,,0
12/5/2016,0,-0.2,0,0.150304582,0.09491927,,0
12/6/2016,0,-1.5,0,0.130480207,0.094432289,,0
12/7/2016,7.17,-7.3,25,0.119807291,0.096849481,,0
12/8/2016,0,-16.5,20,0.117468332,0.095255728,,0
12/9/2016,0,-15,15,0.104376979,0.095423957,,0
12/10/2016,0,-4,10,0.130150937,0.094317186,,0
12/11/2016,0,1.3,12.5,0.111848021,0.093325518,,0
12/12/2016,0.84,-1.4,10,0.075650937,0.09330781,,0
12/13/2016,0,-1.2,10,0.057461563,0.09220104,,0
12/14/2016,0,-1.9,10,0.04748125,0.092688019,,0
12/15/2016,0,-5.6,10,0.043075833,0.094874998,,0
12/16/2016,0,1.5,10,0.03917,0.09706198,,0
12/17/2016,7.79,-8.3,25,0.035548021,0.09782344,,0
12/18/2016,0,-19.1,22.5,0.037444167,0.09606146,,0
12/19/2016,0,-12.3,20,0.175635728,0.09599948,,0
12/20/2016,0,-3.7,17.5,0.313713748,0.129671875,,0
12/21/2016,0,4.4,17.5,0.309001767,0.141412501,,0
12/22/2016,0,0.5,17.5,0.310682185,0.142882292,,0
12/23/2016,0,-0.7,17.5,0.294298129,0.144502603,,0
12/24/2016,0,2.1,17.5,0.278595314,0.148017706,,0
12/25/2016,0,2.4,17.5,0.265356359,0.144298957,,0
12/26/2016,0.36,-3.2,15,0.264868127,0.144281251,,0
12/27/2016,0,-4.2,15,0.265867296,0.141341669,,0
12/28/2016,0,-0.5,15,0.247450835,0.139588545,,0
12/29/2016,0,-1.6,15,0.228069269,0.140907813,,0
12/30/2016,0,-1.4,12.5,0.221006978,0.140261458,,0
12/31/2016,0,4.1,12.5,0.22345948,0.137321874,,0
1/1/2017,0,-1.8,12.5,0.196050521,0.134780729,,0
1/2/2017,0,-1.2,12.5,0.142356666,0.134594792,,0
1/3/2017,4.13,-2.8,17.5,0.171650418,0.129609894,,0
1/4/2017,0,-8.1,22.5,0.147897499,0.132345835,,0
1/5/2017,15.2,-12.6,35,0.086244375,0.132407814,,0
1/6/2017,0,-19.6,32.5,0.071915416,0.132655731,0.071163541,0
1/7/2017,0,-14.6,30,0.074072707,0.132549481,0.061972916,0
1/8/2017,0,-9.1,25,0.094192292,0.132248438,0.05932552,0
1/9/2017,0,2.1,20,0.128061769,0.131433857,0.060281771,0
1/10/2017,0.73,6.6,12.5,0.137076977,0.128936982,0.068764063,0
1/11/2017,0,3.9,10,0.132819165,0.129751566,0.072394273,0
1/12/2017,1.09,-0.3,10,0.083496666,0.132522917,0.071340625,0
1/13/2017,0.24,-3,7.5,0.077490312,0.13029167,0.066302604,0
1/14/2017,0,-0.8,7.5,0.083894061,0.130380211,0.063920833,0
1/15/2017,0,0.4,7.5,0.093034167,0.129654169,0.065248957,0
1/16/2017,3.55,-0.9,17.5,0.100459792,0.129353128,0.064841665,0
1/17/2017,0.53,-1.9,15,0.11212052,0.128759899,0.062760937,0
1/18/2017,0,0.5,15,0.130661873,0.129220317,0.059723958,0
1/19/2017,0,3.4,15,0.146103541,0.128742192,0.065027604,0
1/20/2017,0,4.1,12.5,0.169243334,0.128928129,0.059210416,0
1/21/2017,0,0.5,12.5,0.252026563,0.128538547,0.061423959,0
1/22/2017,0,-0.7,12.5,0.314815101,0.12924688,0.066860416,0
1/23/2017,0,0.6,12.5,0.317483326,0.132301565,0.062459896,0
1/24/2017,2.7,1,17.5,0.312680511,0.135294271,0.069153646,0
1/25/2017,0.38,-6.2,20,0.306617394,0.13695,0.065098437,0
1/26/2017,0,-7.4,17.5,0.305561458,0.137091667,0.064027083,0
1/27/2017,0,-8.3,17.5,0.303404172,0.138127605,0.061140625,0
1/28/2017,0,-2.9,15,0.297409174,0.136409898,0.071747916,0
1/29/2017,0,1,12.5,0.292719898,0.133550003,0.065178126,0
1/30/2017,0,6.9,12.5,0.28729261,0.132691147,0.062876042,0
1/31/2017,0,7.2,12.5,0.280820731,0.132044794,0.064903646,0
2/1/2017,0,5.1,12.5,0.275370734,0.131938545,0.0647,0
2/2/2017,3.73,-4.2,15,0.268808023,0.133063023,0.071455729,0
2/3/2017,0,-6.2,15,0.273168025,0.13743698,0.089066667,0
2/4/2017,0,-3.4,12.5,0.272520836,0.142359895,0.082178124,0
2/5/2017,0,4.4,10,0.269171357,0.140252606,0.086366145,0.354757469
2/6/2017,0,5.8,10,0.266048959,0.139048438,0.071508854,1.22152002
2/7/2017,0,6.8,5,0.263505624,0.138490626,0.07069427,1.403985767
2/8/2017,0,6.3,2.5,0.261677608,0.138251564,0.066054687,1.542059099
2/9/2017,0,5.6,0,0.259134274,0.135949479,0.066028124,1.65866917
2/10/2017,0,9.8,0,0.256397916,0.136374481,0.065434896,2.058837543
2/11/2017,0,13.6,0,0.299271256,0.152648439,0.065948437,1.92440683
2/12/2017,0,4.7,0,0.370984166,0.178263543,0.068064582,1.535518314
2/13/2017,0,1.5,0,0.360413436,0.182212501,0.066922395,1.785735303
2/14/2017,0,2.5,0,0.332913644,0.179945837,0.064522917,1.834058882
2/15/2017,0,1.7,0,0.328406038,0.173579687,0.065045312,2.05739097
2/16/2017,0,6.1,0,0.324466143,0.171569787,0.064044792,2.426711856
2/17/2017,0,9.5,0,0.315235207,0.172720829,0.066169791,2.429420703
2/18/2017,0,8.7,0,0.309489994,0.169303125,0.064345834,1.997307766
2/19/2017,0,7.8,0,0.303801567,0.168506249,0.066010416,1.88779366
2/20/2017,0,7,0,0.298215317,0.164787498,0.068099998,1.777974635
2/21/2017,0,8.2,0,0.294093754,0.166549479,0.067666144,1.942832335
2/22/2017,0,11,0,0.288938964,0.16290156,0.068153123,1.666325755
2/23/2017,6.48,5.5,25,0.282841774,0.15994427,0.069799998,1.463858779
2/24/2017,12.17,-4.9,25,0.275461567,0.158819793,0.072199481,1.261047155
2/25/2017,0.63,-9.4,20,0.266718857,0.156535418,0.073509898,1.257505567
2/26/2017,0,-6.8,17.5,0.258759586,0.15566771,0.077379167,1.309417748
2/27/2017,0,-4.9,15,0.249415104,0.154702608,0.077804166,1.445951416
2/28/2017,0,-0.6,15,0.24076323,0.151187498,0.079344791,1.41739421
3/1/2017,0,-1.9,15,0.232849374,0.149806247,0.079291666,
3/2/2017,0,-1.4,12.5,0.22509448,0.147265102,0.079442186,1.4923147
3/3/2017,0,0.9,10,0.225628125,0.14711458,0.081965622,1.578656778
3/4/2017,0,4.8,5,0.219394688,0.144626562,0.083532811,1.968406789
3/5/2017,0,8.3,2.5,0.242784272,0.145671354,0.082868749,2.176265998
3/6/2017,0,7.7,2.5,0.281490627,0.139880731,0.084214584,1.953060607
3/7/2017,0,-0.6,2.5,0.319209168,0.139411461,0.082479163,1.757286924
3/8/2017,0,2.4,0,0.352590414,0.143077083,0.082629685,1.699008997
3/9/2017,0,7.9,0,0.324874892,0.144254686,0.08384271,1.8301456
3/10/2017,0,7.4,0,0.357404583,0.147583852,0.082293227,1.720240702
3/11/2017,0.54,6.3,0,0.392330001,0.17876823,0.082381768,1.759073083
3/12/2017,0,4.1,0,0.365613644,0.185647916,0.08533021,1.907171482
3/13/2017,0,5.2,0,0.344903642,0.184780209,0.091297918,1.842419654
3/14/2017,0,3.3,0,0.34570979,0.180255733,0.091838019,2.249661961
3/15/2017,0,10.2,0,0.365806665,0.183620314,0.096743228,2.608244505
3/16/2017,0,12.4,0,0.354577394,0.186993749,0.098115626,2.735823658
3/17/2017,0,12.7,0,0.335036872,0.185763021,0.105083853,2.497171882
3/18/2017,0,9.7,0,0.322081767,0.183372397,0.113256251,2.616409183
3/19/2017,0,13.7,0,0.312816767,0.178644275,0.125014584,2.893088241
3/20/2017,0,14.7,0,0.304743956,0.177192193,0.128786462,2.719445137
3/21/2017,0,11.9,0,0.298249376,0.174668749,0.130920316,2.416682728
3/22/2017,0,8.3,0,0.292186256,0.171569789,0.133496877,2.41233874
3/23/2017,0,10.5,0,0.285589483,0.169984894,0.134284897,2.541850757
3/24/2017,3.03,11.6,0,0.277153337,0.168975519,0.133496877,1.973010131
3/25/2017,0,6.2,0,0.266298751,0.166540624,0.135577607,1.497496777
3/26/2017,0,7.8,0,0.255126251,0.16442448,0.13408125,0.017179404
3/27/2017,4.55,5.2,0,0.244055939,0.162122396,0.133975001,0
3/28/2017,0.7,6.9,0,0.233303543,0.161422916,0.134922396,0.064737108
3/29/2017,11.73,4.5,0,0.222403541,0.159944271,0.13324896,1.821951125
3/30/2017,0,6.9,0,0.241785104,0.157358855,0.130840629,2.097860594
3/31/2017,0.99,9,2.5,0.407022295,0.167957294,0.127865628,1.913673681
4/1/2017,14.86,1.6,5,0.373198228,0.182796876,0.125545831,3.527082458
4/2/2017,0.06,1.9,0,0.345505415,0.183761979,0.127874483,4.96275119
4/3/2017,0.86,7.6,0,0.329620935,0.181884898,0.129229172,4.548371672
4/4/2017,3.26,5.8,15,0.361628332,0.182566668,0.132398961,4.808526834
4/5/2017,3.77,0.1,2.5,0.3390676,0.186108334,0.146370833,5.250818606
4/6/2017,0,3.7,0,0.332379999,0.183239584,0.137197917,5.152536548
4/7/2017,0,8.9,0,0.327758852,0.182522397,0.152311977,5.430648381
4/8/2017,0,14,0,0.332595726,0.180344273,0.149947912,5.541935691
4/9/2017,0,14.3,0,0.400959164,0.18763125,0.16144948,4.488387075
4/10/2017,0,5.4,0,0.41333521,0.203117189,0.196866143,4.125628057
4/11/2017,0,5.6,0,0.364932394,0.199593228,0.198194267,4.249266936
4/12/2017,0,8.4,0,0.351046248,0.195192707,0.196706766,4.708235507
4/13/2017,0,12.2,0,0.337160101,0.193501562,0.193474998,4.462886505
4/14/2017,0,13.2,0,0.32821302,0.190358334,0.187002605,4.580564694
4/15/2017,0,13.5,0,0.319322702,0.188676042,0.18509896,4.200535194
4/16/2017,0,10.1,0,0.311374788,0.185984374,0.183717709,4.027359014
4/17/2017,0,10.6,0,0.304891561,0.183434376,0.18161042,3.898845239
